Brewery,Beer,Style/ABV,Description
210 Brewing Co.,Los Vientos,5.1% Mexican Lager,
210 Brewing Co.,Pineapple Heff Wheatley,5% Pineapple Hefeweizen,
210 Brewing Co.,PEAK IPA,7.2% Hazy IPA,"Brewed with Nelson Cryo, Loral Cryo, Dolcita, Sultana!"
210 Brewing Co.,Emotional Support Space Horse,7% Hazy IPA,"Brewed with Azacca, Citra, Galaxy!"
7 Seas Brewing Co,Drop Bear Hazy Pale,5.5% ABV / Down Under Hazy Pale,"Golden and hazy with a juicy abundance of Southern Hemisphere grown hops, Motueka, Nectaron, Galaxy, Nelson Sauvin. Big aroma notes of bright lemon zest, white peach, and tropical intensity."
7 Seas Brewing Co,Nomadic IPA,6.7% ABV / West Coast IPA,"Decidedly West Coast Style, Nomadic IPA displays a bright, deep golden color with a subtle yet toasty, semi-dry malt flavor. Assertive hop character of citrus peel, resin, and tangerine shine through from start to finish."
7 Seas Brewing Co,Velvet Tang,7.0% ABV / Hazy IPA,"Soft & Supple on the pallet, Velvet Tang delivers a walloping hop aroma of juicy, tropical excellence with a smooth finish. Brewed with NW pale and 2-row malts, along with flaked wheat and oats. Hops include Simcoe, Citra, Mosaic, and hefty dry hop additions of Azacca and Citra."
7 Seas Brewing Co,Red Raspberry Sour Ale,4.7% ABV / Gose Style Sour Ale,"Our Gose-Style Red Raspberry Sour Ale is JAM-PACKED with Ripe Red Raspberries,
 perfectly balanced with local San Juan Island Sea salt. This tart and ever-so-slightly herbaceous beer is bright and delightfully refreshing, making it the ideal brew for heading into Spring."
7 Seas Brewing Co,Heidelberg,"4.0% ABV; Brewed on a base of NW pilsner malt along with flaked corn and rice. Hopped with Yakima Magnum and German Hallertau, yielding a perfectly crisp, refreshing and easy-going beer.",
anacortes brewery,Triple Vision,9.8% Belgian Tripel,"Belgian Tripel
 Adheres to traditional guidelines with it's pale straw color
 from pilsner malt and it's high alcohol content. This spicy Belgian will
 make your lips sing!
 OG 1.095 / ABV 9.8% / IBU 25"
anacortes brewery,Cream Bee,5.5% Honey Cream Ale,"Cream Bee
 Brewed with local honey, this smooth cream ale is lagered for crispness and
 features subtle hop aroma and balanced bitterness from Hallertau and Spalter hops.
 OG 1.051 / ABV 5.5% / IBU 35"
Aslan Brewing Co.,Tide Breaker,West Coast IPA - 6.2%,"A modern West Coast IPA with notes of bright citrus, juicy mango, and a hint of pine."
Aslan Brewing Co.,Dawn Patrol,Pale Ale,"An easy drinking modern pale ale with notes of orange, mango, and melon"
Bale Breaker,Mango Tropical IPA,"Mango IPA, 5.9%","Made with real mango, this Tropical IPA has low bitterness and smells like freshly sliced mango with hints of mandarin orange. A portion of the proceeds from this beer is donated to local nonprofits who support migrant farm workers."
Bale Breaker,Arcus Angel IPA,"West Coast IPA, 6.7%","Arcus Angel IPA—a heavenly arc of hops from first sip to finish. Brewed with 2-Row, Pilsner, and Carapils, it delivers a light body that still carries its weight like a guardian with grit. Mosaic, Chinook, Simcoe, and Strata lift aromas of blueberry, grapefruit, and pine into the upper atmosphere. Bright, resinous, and balanced, this American IPA walks the line between bold and graceful."
Barley POP! Brewing,Plethora of Piñats,4.5% Mexican Lager,"Our official Snohomish Pride beer for 2026! This lager is bright, crispy with some sweetness thanks to the flaked corn. Just add your own lime to top it off!"
Barley POP! Brewing,The Pen Is Blue,6% Hard Seltzer,"The Pen Is Rrrroyal Blue, or in this case pink thanks to our house made raspberry rhubarb concentrate. It's bright, mildly sweet with a tart finish. Nothing artificial about our seltzers, and that's no lie."
Barley POP! Brewing,High Quality Hop2o,0% NA Hop Water,"Our very refreshing house made hop water is sure to keep you hydrated through the summer heat and in between a brewski or twoski.
 This batch is flavored with all natural hop extracts featuring Pineapple and Krush hops!
 No alcohol, no sugar, no carbs, no bullshit!"
Beach Cat Brewing,Cats Blue Ribbon,5.0 American Lager,Crushable classic American lager. Enjoyable during any season!
Beach Cat Brewing,White Paw Hard Seltzer,6.0% Hard Seltzer,Refreshing real fruit flavors!
Beach Cat Brewing,La Claw,0.0% Hop Water,Refreshing n/an option for all!
Bellingham Cider Co.,Rainier Cherry,6.7% Hard Cider,A fruit-forward semi-dry cider blended with tart and refreshing Rainier and Bing cherries for one of our most approachable and popular ciders.
Bellingham Cider Co.,Raspberry Lemonade,6.7% Hard Cider,"Showcasing summer raspberries at their finest, but with a kick. Pleasantly tart lemon paired with strong raspberry notes. Refreshing and rejuvenating. Perfect for summer sipping."
Bizarre Brewing,Death Rides a Horse,Italian-Style Pilsner 5.0%,"Death Rides a Horse is our Italian-style pilsner brewed with a blend of German and Italian pilsner malts and hopped in the kettle with Spalt Select, Strisselspalt, Tettnang and Hersbrucker. Death Rides a Horse was fermented cold with our house lager strain then dry hopped with Spalt Select and Perle. Spunded for natural carbonation."
Bizarre Brewing,Crushed in Velvet,Soft Pale Ale 5.6%,"Crushed in Velvet is our rotating hop soft pale ale that was brewed with pilsner malt and flaked oats. We hopped this batch of soft pale ale in the kettle with Strata, Citra, Simcoe and Chinook. Crushed in Velvet was fermented cool with our house lager strain then dry hopped with Dolcita LupoMax, Galaxy and Strata."
Bizarre Brewing,Brett Bier with Lemon Peel & Coriander,5.00%,"We brewed our brett bier with pilsner malt, flaked and malted wheat, and flaked oats. This light and effervescent bier was hopped lightly in the kettle with Saaz and Cashmere hops and infused with lemon peel and coriander. Keg conditioned with one of our favorite Brettanomyces strains."
Boundary Bay Brewing Co.,Cedar Dust IPA,6.3% - American IPA,"Inspiration for Cedar Dust IPA hails from Bellingham’s iconic mountain bike trail on Galbraith Mountain. Brewed with four varieties of Washington-grown hops, it encapsulates the adventurous spirit of the PNW, offering bright citrus aromatics, subtle pine, and a clean, refreshing finish with a balanced, approachable bitterness that keeps you shreddin’."
Boundary Bay Brewing Co.,Scotch Ale,6.4% ABV - Scottish-Style Ale,"Our Scotch Ale became a Northwest classic with the inaugural brew in 1995. The long boil in the kettle caramelizes the wort, producing deep-copper tones. Scotch Ale’s signature malt character is crafted for pure enjoyment."
Boundary Bay Brewing Co.,BBA Old Bounder Barletwine,13.3% - Bourbon Barrel-Aged American Barleywine,"Old Bounder, an homage to yesteryear's ales, is an intense, barrel-aged barleywine. Hints of stonefruit and woody undertones are complemented by smooth caramel sweetness, bold hop character, and a warming alcohol content. Perfect for post-dinner indulgence or dessert pairing, Old Bounder is crafted for connoisseurs seeking the finest, embodying a voyage into bold flavors."
Burke-Gilman Brewing Company,Kölner Dom,5% Kölsch,"Crisp, light, fruity. Perfect for the warm weather."
Burke-Gilman Brewing Company,Hefeweizen,5.4% Hefeweizen,"Bavarian wheat beer, banana and clove."
Burke-Gilman Brewing Company,"Up, And To The Left",6.6% West Coast IPA,"Chinook, Columbus, Mosaic. 
 Dry Hopped with Citra, Mosaic, Simcoe."
Chuckanut Brewery,Schwarz Lager,4.8% Schwarz Lager,"Schwarz is a traditional German-style black lager that combines snappy bitterness with dry, espresso-like roast flavors on a light to medium-bodied frame."
Chuckanut Brewery,Kolsch,4.5% Kolsch,"Chuckanut German-style Kölsch has a light body with a soft malt flavor giving way to a crisp finish. This award-winning ale has undergone cold conditioning, resulting in a slightly fruity aroma, effervescent quality, and quenches your thirst all year round!
 
 World Beer Cup 2026 Gold Medal Winner"
Cloudburst Brewing,Take A Dare,"6.5%, IPA","Oh you want us to make an IPA with all public hops? And not the new stuff? Pshh easy peezy. How about Chinook, Crystal, and Columbus Cryo."
Cloudburst Brewing,Pocket Universe,"5.7%, Australian Pale Ale","What if earth and our planet system and space was just a tiny snow globe in the palm of a reckless alien child with very bad ADHD so that it sometimes they totally forget about us when it falls off their nightstand and rolls under their bed until they find it months later, covered in gloob (that’s dust in their world) and then they just briefly shake the shit out of it before throwing it into their toy closest, which in turn, creates a chaotic turn of events in our world - climate change, war, poverty, pariahs - and that’s why all this shit is going on? WE’RE JUST A TINY FUCKING SNOWGLOBE THAT FITS IN YOUR POCKET. THIS COULD EXPLAIN EVERYTHING! WHAT. YES. This is another beer with Galaxy. Also, Citra, Azacca, Mosaic, and Nectaron. An extra stellar constellation of hops, if you will. All wrapped up in a small package for you to crush with your mouth and not with your palm. UNLIKE AFOREMENTIONED RECKLESS ALIEN CHILD."
Cloudburst Brewing,Happy Little Clouds,"5.3%, Contemporary American-Style Pilsner","2024 GABF Bronze, 2023 WBC Bronze, 2022 WBC Bronze, 2021 GABF Silver
 We believe every day is a good day when you brew. Start out by believing here. A little touch of pilsner malt here, a little push of German and American hops there, caressed very gently layer after layer after layer. There are no limits here. Weyermann Pilsner Malt and hopped with a blend of Magnum, Saaz, Mandarina, Citra, & Mosaic."
Culture Shock Brew,Sage Awakening,"5.7% ABV, hard kombucha","Sage Awakening, yuzu sage hard kombucha 5.7% ABV
 Fresh citrusy Yuzu goodness on the nose with well-balanced dry fruit flavors and slight nuances of sage on the finish"
Culture Shock Brew,Golden Griffin,,"GOLDEN GRIFFIN: Green tea flavored with fresh Pineapple, Mango, and Yakima Valley Hops. So many tropical notes up front with a well-balanced hop finish."
Culture Shock Brew,Tepache Day Dream,"6.9%ABV, Hard Tepache","Tepache Daydream, pineapple hard tepache 6.9% ABV
 Notes of roasted pineapple and baking spice with an outstanding wild yeast funk"
Culture Shock Brew,Golden Griffin (see above),,
Dick's Brewing Company,El Ricardo,Mexican Lager 4.2%,"Crisp, light, and brewed with a refreshing twist — El Ricardo is an easy-drinking lager with smooth flavor and laid-back vibes made for good times."
Dick's Brewing Company,Dick Danger Ale,5.2% English Dark Ale,"Bold, smooth, and full of character — Dick Danger Ale delivers rich malt flavor balanced with a clean hop finish for an easy-drinking ale with just the right amount of attitude."
Dick's Brewing Company,Orange You Glad,Wheat Ale 4.8%,"Bright, refreshing, and brewed with a burst of citrus — Orange You Glad Wheat Ale is a smooth wheat beer with sweet orange flavor and a crisp, easy-drinking finish."
Dru Bru,Mountain Made IPA,6.5% | India Pale Ale,"Crafted with locally grown hops, this IPA is a tribute to where we brew and call home—the mountains of Washington State. Krush®, Simcoe®, Citra®, and Mosaic® hops, combined with fresh mountain water and light malts, create a crisp, hop-forward ale layered with clean pine and punchy citrus. Bold, drinkable, and brewed in the Cascades, this beer is undeniably Mountain Made."
Dru Bru,Pilsner,4.8% | German-Style Light Lager,"An award-winning, German-style golden lager. Fresh mountain water, Bohemian Pilsner malts, and gentle European hops create a super-smooth lager with a complex maltiness and soft bitterness. It’s refreshing, tasty, and crushable."
Dru Bru,Peach Sour,4.8% | German-Style Gose,"*us bringing this one is TBD - depends on our stock, but wanted to list it just in case!*
 
 A crisp and tart wheat beer that is soured using Lactobacillus bacteria. A sprinkling of sea salt and fresh-ground coriander compliment the acidity with a mild spiciness and a mild salty-mineral finish. Brewed with peaches; you’ll find it fruity, crisp, and refreshing."
Eliott Bay Brewing,Equalizer,5.1 abv session IPA,"Lager yeast and pilsner malt take a back seat to huge hop flavor from cryo Mosaic and Citra. Lots of citrus notes with a touch of tropical fruit and spice. Finishes clean, dry and refreshing. 25 IBU"
Eliott Bay Brewing,Golden Boot,4.5 abv Golden ale,"Simple, clean, easy drinking golden ale. Munich and Vienna Malts show off a bready biscuit character, centennial and strata bring just enough balance. 16 IBU Get those goals!"
Eliott Bay Brewing,PK pilsner,5.2 abv West Coast Pilsner,"Clean lager meets double dry hopping. Pacifica, HBC 638 and cryo mosaic offer tangerine, grapefruit zest, lemon, peach and more! 25 IBU"
Fair Isle Brewing,West Coast Pilsner,"5.3%, Lager","A crisp, bright West Coast Pilsner featuring citra and simcoe hops."
Fair Isle Brewing,Harlen,"3.8%, Saison",Foeder lagered table saison.
Flying Bike Cooperative Brewery,Too Many Puppies,"4.6%, Hazy Pale","Our crowd-favorite house Hazy Pale, tropical flavor brought to you by Mosaic and El Dorado hops."
Flying Bike Cooperative Brewery,Saison D'Etre,6.3% Saison,"Gentle saison yeast character comes from the Jovaru Farmhouse yeast. Spiced with Bitter Orange, Grains of Paradise, and Coriander. (Another member award winning beer made in CO-OPeration with Eric Blume.)"
Flying Lion Brewing,"Larry, Curly & Moesaic Pale",5.1% - American-Style Pale Ale,"You are no victim of soicumstance, this beer is soitenly poifect! Fragrant and refreshingly dry, Mosaic hops bring blueberry and starfruit aromas, finishing with HOTCHACHACHAA!"
Flying Lion Brewing,Velvet Uppercut Belgian Golden Strong,9.0% - Belgian-Style Golden Strong,"There I was, enjoying the complex blend of fruity esters and subtle spice, ready to have another of this extraordinarily smooth beer when, POW! I got that Velvet Uppercut."
Flying Lion Brewing,Rye Stout,6.0% - American-Style Stout,"This is a classic American Stout, full of flavor, character, and with a spicy, crisp addition of Rye. The clean, roasted flavor finishes dry and drinks well year-round."
Flying Lion Brewing,Metric Exhibition Vienna Kölsch,5.0% - Kölsch,"This crispy boi was brewed as part of a recipe trade with Italian brewery, La Collina. It is a beautiful ode to Vienna malt and Base 10. A pleasant golden hue with subtle hints of toasted pecan and biscuits."
Flying Lion Brewing,H2O Yeah Hop Water,Hop Water,
Formula Brewing,Formula 32,7.2 WC IPA,"Citra, Mosaic Cryo and experimental HBC 1183 hops are in charge of this high hop charged dry west coast ipa with notes of lime, melon, tropical with a background note of dripping pitch."
Formula Brewing,Chasing Bubbles,4.9 Keller Helles,Dry bread cracker malty drinkable lager beer.
Four Generals Brewing,Kolsch,Kolsch 5.0%,A classic Koln style Kolsch with 100% German ingredients.
Four Generals Brewing,Rauch Marzen,Rauch Marzen 4.9%,A classic Bamberg style Rauch Bier with 100% German ingredients.
Fremont Brewing,Loreto,5.2% Mexican Lager,"This Mexican-style lager presents a clean, easy-drinking profile with subtle water cracker notes up front, followed by light impressions of white bread, corn, and delicate florals."
Fremont Brewing,Brew 9000,14.7% BA Barleywine,"barley wine greets the senses with rich aromas of molasses, toffee, brown sugar, cola, vanilla, whiskey, and dried fruits, layered with hints of oak and biscuit"
Fremont Brewing,Lost Lake Peach Tea Cider,6.5% Fruited Cider,Dry cider with peach puree and oolong tea infusion.
Fremont Brewing,NA Hazy IPA,Hazy IPA,
Friends And Neighbors Brewing,Funcle IPA,5.5% IPA,Nice and hoppy citrusy IPA that bursts with flavor yet not overpowering. It is the fun uncle of the IPA verse!
Friends And Neighbors Brewing,Kingston Kolsch,5.0% Kolsch,This easy drinking is perfect for warm days. It has a light body and light citrusy flavor.
Future Primitive Brewing,Raspberry Gose,4.6% ABV Gose,"Light, snappy, saline, and pleasantly tart. We brewed the un-fruited version of this with Fal Allen of Anderson Valley and are happy to present its pink and very berry reprise. Look for a clean, crisp tartness and a subtle bready finish."
Future Primitive Brewing,Queer Beer Lager,5% ABV American Lager,"This lager is clean and easy to drink. The addition of flaked maize gives the beer a very clean, dry finish that is not bitter or sweet."
Garden Path Fermentation,The Celebratory Blend.,5% 8th Anniversary Saison,"A unique blend of barrel-aged fresh hopped beer and young dry-hopped beer, crafted in celebration of our 8th anniversary!"
Garden Path Fermentation,The Fruitful Keg.,4.2% Fruit Ale,"Barrel-aged native yeast ale co-fermented with boysenberries, blended with young table beer, re-fermented with blue haskap berries, and naturally conditioned with juice from local blackberries."
